,Object-ID,SYS_CODE,LOC_NAME,BED_CODE,MAN_NAME,DES_TYPE,CAT_DES,BLD_CODE,ADDRESS,ST_CODE,LAT,LON,COM_DIST,COUN_DIS,CENSUS_TRACT,BOR_BLOCK,NTA,NTA_NAME,ADM_DIST,DBN_CODE,SCH_NAME,YEAR,TOT_ENRO,GRADE PK,GRADE K,GRADE 1,GRADE 2,GRADE 3,GRADE 4,GRADE 5,GRADE 6,GRADE 7,GRADE 8,GRADE 9,GRADE 10,GRADE 11,GRADE 12,NUM_POV,PERC_POV,ECON_IND
15,K015,1.63782766544441e-312,P.S. 015 Patrick F. Daly,332000000000,DOE,General Academic,Elementary,K015,71 SULLIVAN STREET,NY,40.677085,-74.011864,306,38,5300,1.48499334957327e-314,BK33,Carroll Gardens-Columbia Street-Red Hook,COMMUNITY SCHOOL DISTRICT 15,15K015,P.S. 015 Patrick F. Daly,2018-19,485,80,67,65,66,71,58,78,0,0,0,0,0,0,0,346,71%,78%
16,K016,1.63733359980351e-312,P.S. 016 Leonard Dunkly,331000000000,DOE,General Academic,Elementary,K016,157 WILSON STREET,NY,40.706069,-73.962049,301,33,53500,1.49295274712777e-314,BK72,Williamsburg,COMMUNITY SCHOOL DISTRICT 14,14K016,P.S. 016 Leonard Dunkly,2018-19,222,11,35,36,40,37,27,36,0,0,0,0,0,0,0,197,89%,94%
17,K017,1.63733359980845e-312,P.S. 017 Henry D. Woodworth,331000000000,DOE,General Academic,Elementary,K017,208 NORTH �������������,NY,40.715268,-73.957300,301,34,51900,1.49378277741278e-314,BK73,North Side-South Side,COMMUNITY SCHOOL DISTRICT 14,14K017,P.S. 017 Henry D. Woodworth,2018-19,297,26,44,49,39,45,50,44,0,0,0,0,0,0,0,204,69%,75%
18,K018,1.63733359981339e-312,P.S. 018 Edward Bush,331000000000,DOE,General Academic,Elementary,K018,101 MAUJER STREET,NY,40.710880,-73.946695,301,34,50300,1.4959665475674e-314,BK90,East Williamsburg,COMMUNITY SCHOOL DISTRICT 14,14K018,P.S. 018 Edward Bush,2018-19,194,16,33,39,32,28,23,23,0,0,0,0,0,0,0,160,83%,85%
19,K020,1.63683953417743e-312,P.S. 020 Clinton Hill,331000000000,DOE,General Academic,Elementary,K020,225 ADELPHI STREET,NY,40.690742,-73.970896,302,35,18300,1.49252785166048e-314,BK68,Fort Greene,COMMUNITY SCHOOL DISTRICT 13,13K020,P.S. 020 Clinton Hill,2018-19,481,54,92,88,65,67,74,41,0,0,0,0,0,0,0,281,58%,49%
20,K021,1.63832173111989e-312,P.S. 021 Crispus Attucks,332000000000,DOE,General Academic,Elementary,K021,180 CHAUNCEY STREET,NY,40.680350,-73.926673,303,36,38100,1.49055653665049e-314,BK61,Crown Heights North,COMMUNITY SCHOOL DISTRICT 16,16K021,P.S. 021 Crispus Attucks,2018-19,574,82,72,73,77,81,100,89,0,0,0,0,0,0,0,414,72%,79%
21,K023,1.63733359983809e-312,P.S. 023 Carter G. Woodson,331000000000,DOE,General Academic,Elementary,K023,545 WILLOUGHBY AVENUE,NY,40.694470,-73.947256,303,36,25901,1.49088755865694e-314,BK75,Bedford,COMMUNITY SCHOOL DISTRICT 14,14K023,P.S. 023 Carter G. Woodson,2018-19,291,32,40,45,39,48,50,37,0,0,0,0,0,0,0,261,90%,92%
22,K024,1.63782766548887e-312,P.S. 024,332000000000,DOE,General Academic,Elementary,K024,427 38 STREET,NY,40.652832,-74.004533,307,38,8400,1.48566033819515e-314,BK32,Sunset Park West,COMMUNITY SCHOOL DISTRICT 15,15K024,P.S. 024,2018-19,615,50,72,110,94,93,97,99,0,0,0,0,0,0,0,577,94%,86%
23,K025,1.63832173113965e-312,P.S. 025 Eubie Blake School,332000000000,DOE,General Academic,Elementary,K025,787 LAFAYETTE AVENUE,NY,40.691472,-73.940749,303,36,28100,1.49102589753184e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K025,P.S. 025 Eubie Blake School,2018-19,82,7,8,12,16,11,15,13,0,0,0,0,0,0,0,78,95%,95%
24,K026,1.6383217311446e-312,P.S. 026 Jesse Owens,332000000000,DOE,General Academic,Elementary,K026,1014 LAFAYETTE AVENUE,NY,40.692100,-73.931700,303,36,29100,1.4901810388546e-314,BK35,Stuyvesant Heights,COMMUNITY SCHOOL DISTRICT 16,16K026,P.S. 026 Jesse Owens,2018-19,259,31,27,33,19,54,57,38,0,0,0,0,0,0,0,186,72%,78%
