BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
K196,P.S. 196 - BROOKLYN,ROOF,7753225,5214
K197,P.S. 197 - BROOKLYN,FLOOD,13606031,9150
K197,P.S. 197 - BROOKLYN,OTHER,1078368,725
K198,P.S. 198 - BROOKLYN,OTHER,127720,86
K200,P.S. 200 - BROOKLYN,OTHER,323128,217
K200,P.S. 200 - BROOKLYN,ROOF,9008887,6058
K201,I.S. 201 - BROOKLYN,OTHER,1041798,701
K202,ACHIEVEMENT FIRST ASPIRE CHART,OTHER,5950000,4001
K202,P.S. 202 - BROOKLYN,OTHER,469560,316
K203,P.S. 203 - BROOKLYN,OTHER,514807,346
K204,P.S. 204 - BROOKLYN,OTHER,112241,75
K205,P.S. 205 - BROOKLYN,FLOOD,6249265,4203
K205,P.S. 205 - BROOKLYN,OTHER,87611,59
K206,P.S. 206 - BROOKLYN,OTHER,318477,214
K208,P.S. 208 - BROOKLYN,OTHER,1011922,681
K210,I.S. 394 - BROOKLYN,OTHER,787904,530
K210,I.S. 394 - BROOKLYN,PENET,1216807,818
K213,P.S. 213 - BROOKLYN,OTHER,8252088,5549
K214,P.S. 214 - BROOKLYN,OTHER,65186,44
K215,P.S. 215 - BROOKLYN,OTHER,4551301,3061
K217,P.S. 217 - BROOKLYN,FLOOD,12177075,8189
K217,P.S. 217 - BROOKLYN,OTHER,545292,367
K218,I.S. 218 - BROOKLYN,OTHER,6371102,4285
K218,I.S. 218 - BROOKLYN,PENET,3867813,2601
K218,I.S. 218 - BROOKLYN,ROOF,7580390,5098
K218,SCHOOL FOR CLASSICS HS - BROOK,OTHER,524702,353
K219,P.S. 219 - BROOKLYN,OTHER,762923,513
K219,P.S. 219 - BROOKLYN,ROOF,20054748,13487
K220,I.S. 220 - BROOKLYN,OTHER,410639,276
K221,P.S. 221 - BROOKLYN,OTHER,125262,84
K222,P.S. 222 - BROOKLYN,OTHER,2107848,1418
K223,I.S. 223 - BROOKLYN,FLOOD,6636620,4463
K223,I.S. 223 - BROOKLYN,OTHER,118424,80
K223,URBN ASSY SCHL CRIM JUSTICE,OTHER,1971278,1326
K224,P.S. 224 - BROOKLYN,OTHER,225000,151
K226,P.S. 226 - BROOKLYN,OTHER,995425,669
K227,I.S. 227 - BROOKLYN,OTHER,672643,452
K227,I.S. 227 - BROOKLYN,ROOF,6973909,4690
K228,I.S. 228 - BROOKLYN,OTHER,339430,228
K229,P.S. 229 - BROOKLYN,FLOOD,17763979,11946
K229,P.S. 229 - BROOKLYN,OTHER,75000,50
K230,P.S. 230 - BROOKLYN,OTHER,2177238,1464
K230,P.S. 230 - BROOKLYN,ROOF,14392943,9679
K231,K371 SPED - BROOKLYN,OTHER,49625,33
K232,ARTS & MEDIA PREP ACADEMY - K,OTHER,102236,69
K232,EAST FLATBUSH COMMUNITY RESCH,OTHER,667839,449
K232,"MIDDLE SCHL MEDIA, LAW AND FIN",OTHER,102236,69
K232,MIDDLE SCHOOL OF MKTG - K,OTHER,201486,135
K232,MIDDLE SCHOOL OF MKTG - K,ROOF,6320864,4251
K233,P.S. 233 - BROOKLYN,OTHER,484510,326
K233,P.S. 233 - BROOKLYN,ROOF,7158796,4814
K234,I.S. 234 - BROOKLYN,OTHER,1331677,896
K235,P.S. 235 - BROOKLYN,OTHER,502163,338
K237,THE ACADAMY OF TALENTED SCHOLA,OTHER,279421,188
K237,THE BROOKLYN SCHOOL OF INQUIRY,OTHER,204421,137
K237,THE BROOKLYN SCHOOL OF INQUIRY,ROOF,3405741,2290
K238,K231 SPED - BROOKLYN,OTHER,35000,24
K238,P.S. 238 - BROOKLYN,OTHER,9249665,6220
K240,I.S. 240 - BROOKLYN,FLOOD,21671128,14574
