BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET
K116,P.S. 116 - BROOKLYN,OTHER,326713
K117,BKLYN HS FOR LEADERSHIP & COMM,OTHER,98645
K117,BROOKLYN COMMUNITY ARTS & MEDI,OTHER,98645
K117,M.S. 596 PEACE ACADEMY - K,OTHER,98645
K119,P.S. 119 - BROOKLYN,OTHER,1516298
K120,K368 SPED - BROOKLYN,OTHER,350000
K120,P.S. 120 - BROOKLYN,OTHER,610708
K121,P.S. 121 - BROOKLYN,OTHER,249485
K121,P.S. 121 - BROOKLYN,ROOF,5643858
K123,P.S. 123 - BROOKLYN,OTHER,210448
K124,P.S. 124 - BROOKLYN,FLOOD,4400048
K124,P.S. 124 - BROOKLYN,OTHER,666903
K126,BELIEVE NORTHSIDE CHARTER HIGH,OTHER,35000
K126,J.H.S. 126 - BROOKLYN,OTHER,1825110
K126,WILLIAMSBURG CHARTER SCHOOL -,OTHER,235000
K127,P.S. 127 - BROOKLYN,OTHER,75709819
K127,P.S. 127 - BROOKLYN,ROOF,4107147
K128,P.S. 128 - BROOKLYN,OTHER,2460063
K130,P.S. 130 - BROOKLYN,OTHER,1159356
K130,P.S. 130 - BROOKLYN,ROOF,14700502
K131,P.S. 131 - BROOKLYN,FLOOD,15509395
K131,P.S. 131 - BROOKLYN,OTHER,401442
K132,P.S. 132 - BROOKLYN,OTHER,665715
K135,P.S. 135 - BROOKLYN,OTHER,291000
K135,P.S. 135 - BROOKLYN,ROOF,8762063
K136,I.S. 136 - BROOKLYN,FLOOD,13289710
K136,I.S. 136 - BROOKLYN,OTHER,5218629
K136,I.S. 821 - BROOKLYN,OTHER,3658372
K137,P.S. 137 - BROOKLYN,OTHER,353560
K138,P.S. 138 - BROOKLYN,FLOOD,10526802
K138,P.S. 138 - BROOKLYN,OTHER,181829
K139,P.S. 139 - BROOKLYN,OTHER,1813978
K142,I.S. 448 - BROOKLYN,OTHER,871200
K142,P.S. 146 - BROOKLYN,OTHER,4764896
K142,P.S. 146 - BROOKLYN,ROOF,2647833
K145,P.S. 145 - BROOKLYN,OTHER,283298
K145,P.S. 145 - BROOKLYN,ROOF,3613321
K147,P.S. 147 - BROOKLYN,OTHER,8482182
K147,P.S. 147 - BROOKLYN,ROOF,9262920
K147,YOUNG WOMEN'S LEADERSHIP SCHOO,OTHER,35000
K148,K373 SPED - BROOKLYN,OTHER,165945
K149,P.S. 149 - BROOKLYN,OTHER,125000
K150,P.S. 150 - BROOKLYN,FLOOD,5729946
K150,P.S. 150 - BROOKLYN,OTHER,815578
K151,P.S. 151 - BROOKLYN,OTHER,1004057
K152,P.S. 152 - BROOKLYN,OTHER,1024113
K152,P.S. 315 - BROOKLYN,OTHER,1999768
K153,P.S. 153 - BROOKLYN,OTHER,173716
K154,P.S. 154 - BROOKLYN,OTHER,1412177
K155,P.S. 155 - BROOKLYN,OTHER,7512342
K155,P.S. 155 - BROOKLYN,ROOF,2662831
K157,P.S. 157 - BROOKLYN,OTHER,318910
K158,P.S. 158 - BROOKLYN,FLOOD,18100428
K158,P.S. 158 - BROOKLYN,OTHER,1818395
K159,P.S. 159 - BROOKLYN,OTHER,618396
K160,P.S. 160 - BROOKLYN,OTHER,691281
K161,P.S. 161 - BROOKLYN,FLOOD,3238118
K161,P.S. 161 - BROOKLYN,OTHER,668075
K162,I.S. 162 - BROOKLYN,FLOOD,19402206
K162,I.S. 162 - BROOKLYN,OTHER,2406629
K163,P.S. 748 - BROOKLYN,OTHER,2338111
K164,P.S. 164 - BROOKLYN,OTHER,447699
K164,P.S. 164 - BROOKLYN,ROOF,7773830
K165,P.S. 165 - BROOKLYN,OTHER,1036751
K166,SCHOOL BASED HEALTH CENTER - B,OTHER,86466
K166,UFT CHARTER SCHOOL - BROOKLYN,OTHER,352187
K166,VAN SICLEN COMMUNITY MIDDLE SC,OTHER,136179
K167,NEW BRIDGES,OTHER,125985
K167,P.S. 167 - BROOKLYN,OTHER,260721
K167,P.S. 167 - BROOKLYN,ROOF,11163796
K169,P.S. 169 - BROOKLYN,OTHER,13173554
K170,P.S. 170 - BROOKLYN,OTHER,9355875
K171,I.S. 171 - BROOKLYN,OTHER,1605438
K174,BKLYN GARDENS ELEMENTARY SCHL,OTHER,319802
K174,BROOKLYN GARDENS ELEMENTARY SC,OTHER,559225
K174,SCHOOL OF THE FUTURE BROOKLYN,OTHER,876295
K175,FREDERICK DOUGLAS ACAD VII HS,OTHER,15372
K175,TEACHERS PREP (HS LVL) - K,OTHER,114622
K176,P.S. 176 - BROOKLYN,OTHER,439812
K177,P.S. 177 - BROOKLYN,OTHER,3363532
K178,K077 SPED - BROOKLYN,FLOOD,8186087
K178,P.S. 178 - BROOKLYN,OTHER,336274
K179,P.S. 179 - BROOKLYN,OTHER,35000
K180,K231 SPED - BROOKLYN,OTHER,100000
K180,P.S. 180 - BROOKLYN,OTHER,160819
K181,P.S. 181 - BROOKLYN,FLOOD,1905000
K181,P.S. 181 - BROOKLYN,OTHER,41000
K183,P.S. 446 - BROOKLYN,OTHER,391492
K183,RIVERDALE AVENUE MIDDLE SCHOOL,OTHER,828882
K184,P.S. 184 - BROOKLYN,OTHER,2896477
K184,P.S. 184 - BROOKLYN,ROOF,8897924
K185,P.S. 185 - BROOKLYN,OTHER,915046
K186,P.S. 186 - BROOKLYN,OTHER,215349
K189,P.S. 189 - BROOKLYN,OTHER,62000
K190,P.S. 190 - BROOKLYN,OTHER,500
K191,P.S. 191 - BROOKLYN,OTHER,2615695
K191,P.S. 191 - BROOKLYN,ROOF,4710161
K192,P.S. 192 - BROOKLYN,OTHER,50000
K193,P.S. 193 - BROOKLYN,OTHER,1286564
K196,I.S. 582 - BROOKLYN,OTHER,311729
K196,P.S. 196 - BROOKLYN,OTHER,628104
K196,P.S. 196 - BROOKLYN,ROOF,7753225
K197,P.S. 197 - BROOKLYN,FLOOD,13606031
K197,P.S. 197 - BROOKLYN,OTHER,1078368
K198,P.S. 198 - BROOKLYN,OTHER,127720
K200,P.S. 200 - BROOKLYN,OTHER,323128
K200,P.S. 200 - BROOKLYN,ROOF,9008887
K201,I.S. 201 - BROOKLYN,OTHER,1041798
K202,ACHIEVEMENT FIRST ASPIRE CHART,OTHER,5950000
K202,P.S. 202 - BROOKLYN,OTHER,469560
K203,P.S. 203 - BROOKLYN,OTHER,514807
K204,P.S. 204 - BROOKLYN,OTHER,112241
K205,P.S. 205 - BROOKLYN,FLOOD,6249265
K205,P.S. 205 - BROOKLYN,OTHER,87611
K206,P.S. 206 - BROOKLYN,OTHER,318477
K208,P.S. 208 - BROOKLYN,OTHER,1011922
K210,I.S. 394 - BROOKLYN,OTHER,787904
K210,I.S. 394 - BROOKLYN,PENET,1216807
K213,P.S. 213 - BROOKLYN,OTHER,8252088
K214,P.S. 214 - BROOKLYN,OTHER,65186
K215,P.S. 215 - BROOKLYN,OTHER,4551301
K217,P.S. 217 - BROOKLYN,FLOOD,12177075
K217,P.S. 217 - BROOKLYN,OTHER,545292
K218,I.S. 218 - BROOKLYN,OTHER,6371102
K218,I.S. 218 - BROOKLYN,PENET,3867813
K218,I.S. 218 - BROOKLYN,ROOF,7580390
K218,SCHOOL FOR CLASSICS HS - BROOK,OTHER,524702
K219,P.S. 219 - BROOKLYN,OTHER,762923
K219,P.S. 219 - BROOKLYN,ROOF,20054748
K220,I.S. 220 - BROOKLYN,OTHER,410639
K221,P.S. 221 - BROOKLYN,OTHER,125262
K222,P.S. 222 - BROOKLYN,OTHER,2107848
K223,I.S. 223 - BROOKLYN,FLOOD,6636620
K223,I.S. 223 - BROOKLYN,OTHER,118424
K223,URBN ASSY SCHL CRIM JUSTICE,OTHER,1971278
K224,P.S. 224 - BROOKLYN,OTHER,225000
K226,P.S. 226 - BROOKLYN,OTHER,995425
K227,I.S. 227 - BROOKLYN,OTHER,672643
K227,I.S. 227 - BROOKLYN,ROOF,6973909
K228,I.S. 228 - BROOKLYN,OTHER,339430
K229,P.S. 229 - BROOKLYN,FLOOD,17763979
K229,P.S. 229 - BROOKLYN,OTHER,75000
K230,P.S. 230 - BROOKLYN,OTHER,2177238
K230,P.S. 230 - BROOKLYN,ROOF,14392943
K231,K371 SPED - BROOKLYN,OTHER,49625
K232,ARTS & MEDIA PREP ACADEMY - K,OTHER,102236
K232,EAST FLATBUSH COMMUNITY RESCH,OTHER,667839
K232,"MIDDLE SCHL MEDIA, LAW AND FIN",OTHER,102236
K232,MIDDLE SCHOOL OF MKTG - K,OTHER,201486
K232,MIDDLE SCHOOL OF MKTG - K,ROOF,6320864
K233,P.S. 233 - BROOKLYN,OTHER,484510
K233,P.S. 233 - BROOKLYN,ROOF,7158796
K234,I.S. 234 - BROOKLYN,OTHER,1331677
K235,P.S. 235 - BROOKLYN,OTHER,502163
K237,THE ACADAMY OF TALENTED SCHOLA,OTHER,279421
K237,THE BROOKLYN SCHOOL OF INQUIRY,OTHER,204421
K237,THE BROOKLYN SCHOOL OF INQUIRY,ROOF,3405741
K238,K231 SPED - BROOKLYN,OTHER,35000
K238,P.S. 238 - BROOKLYN,OTHER,9249665
K240,I.S. 240 - BROOKLYN,FLOOD,21671128
K240,I.S. 240 - BROOKLYN,OTHER,381616
K240,I.S. 381 - BROOKLYN,OTHER,76000
K241,P.S. 241 - BROOKLYN,OTHER,953337
K242,OLYMPUS ACADEMY - BROOKLYN,OTHER,26315
K242,P.S. 235 - BROOKLYN,OTHER,432147
K244,BROOKLYN SCIENCE AND ENGINEERI,OTHER,110166
K244,P.S. 244 - BROOKLYN,OTHER,1231609
K246,I.S. 246 - BROOKLYN,FLOOD,5818764
K246,I.S. 246 - BROOKLYN,OTHER,1413879
K247,P.S. 247 - BROOKLYN,OTHER,2109286
K249,P.S. 249 - BROOKLYN,OTHER,9411728
K250,P.S. 250 - BROOKLYN,OTHER,619535
K251,P.S. 251 - BROOKLYN,OTHER,5824609
K252,I.S. 252,OTHER,25038
K252,MIDDLE SCHOOL FOR ART & PHILOS,OTHER,1104137
K252,MIDDLE SCHOOL FOR ART & PHILOS,ROOF,12298728
K255,P.S. 255 - BROOKLYN,OTHER,277669
K255,P.S. 255 - BROOKLYN,ROOF,16825852
K256,P.S. 256 - BROOKLYN,OTHER,137000
K257,P.S. 257 - BROOKLYN,OTHER,296774
K258,K140 SPED - BROOKLYN,OTHER,251345
K259,I.S. 259 - BROOKLYN,OTHER,8451930
K261,P.S. 261 - BROOKLYN,OTHER,295079
K262,P.S. 262 - BROOKLYN,OTHER,761197
K263,M.S. 671 - BROOKLYN,OTHER,135618
K263,P.S./I.S. 323 - BROOKLYN,OTHER,2437612
K264,P.S. 264 - BROOKLYN,OTHER,35000
K265,I.S. 265 - BROOKLYN,OTHER,1276792
K265,I.S. 265 -BROOKLYN,OTHER,6500098
K268,P.S. 268 - BROOKLYN,OTHER,1612581
K269,COMMUNITY BASED ORGANIZATION -,OTHER,121435
K269,P.S. 361 - BROOKLYN,OTHER,41000
K270,COMMUNITY PARTNERSHIP CHARTER,OTHER,147000
K270,P.S. 270 - BROOKLYN,OTHER,130001
K271,EAGLE ACAD YOUNG MEN AT OCEAN,OTHER,783710
K271,I.S. 522 - BROOKLYN,OTHER,9816016
K273,P.S. 273 - BROOKLYN,OTHER,475142
K274,P.S. 274 - BROOKLYN,OTHER,5894839
K275,I.S. 518 - BROOKLYN,OTHER,637387
K280,EDUCATIONAL CAMPUS @ 500 19TH,OTHER,21542579
K280,I.S. 442 - BROOKLYN,OTHER,94037
K280,PRE-K CENTER AT BISHOP FORD SC,OTHER,939473
K282,P.S. 282 - BROOKLYN,OTHER,754444
K284,P.S. 284 - BROOKLYN,OTHER,1554214
K284,P.S. 284 - BROOKLYN,PENET,2854694
K285,I.S. 285 - BROOKLYN,OTHER,1524758
K289,P.S. 289 - BROOKLYN,OTHER,143491
K290,P.S. 290 - BROOKLYN,OTHER,650053
K290,P.S. 290 - BROOKLYN,ROOF,3922381
K291,BUSHWICK COMMUNITY HS - BROOKL,OTHER,130360
K291,I.S. 291 - BROOKLYN,OTHER,1400344
K291,"MATH, ENGINEERING, AND SCIENCE",OTHER,96843
K292,I.S. 292 - BROOKLYN,OTHER,318100
K293,DIGITAL ARTS AND CINEMA TECHNO,OTHER,14386
K293,THE BOERUM HILL SCHOOL FOR INT,OTHER,205860
K296,I.S. 562 - BROOKLYN,OTHER,234060
K296,K053 SPED - BROOKLYN,OTHER,522102
K297,P.S. 297 - BROOKLYN,OTHER,124064
K298,I.S. 363 - BROOKLYN,OTHER,145458
K298,I.S. 363 - BROOKLYN,ROOF,4679593
K298,P.S. 298 - BROOKLYN,OTHER,1132711
K299,P.S. 299 - BROOKLYN,OTHER,372067
K302,I.S. 302 - BROOKLYN,OTHER,617990
K302,LIBERTY AVENUE MIDDLE SCHOOL,OTHER,193923
K302,SCHOOL BASED HEALTH CENTER - B,OTHER,205262
K302,VISTA ACADEMY - BROOKLYN,OTHER,598769
K304,BRIGHTER CHOICE COMMUN SCHL,OTHER,511972
K304,YOUNG SCHOLARS ACADEMY - BKLN,OTHER,5488106
K305,P.S. 305 - BROOKLYN,OTHER,15341
K306,P.S. 306 - BROOKLYN,OTHER,890993
K307,P.S. 307 - BROOKLYN,OTHER,863034
K308,P.S. 308 - BROOKLYN,OTHER,323299
K309,P.S. 309 - BROOKLYN,OTHER,504076
K310,P.S. 310 - BROOKLYN,OTHER,326978
K313,URBAN ASSEMBLY HS - BROOKLYN,OTHER,53081
K314,P.S. 503 - BROOKLYN,OTHER,1776668
K314,P.S. 503 - BROOKLYN,ROOF,6157595
K314,P.S. 506 - BROOKLYN,OTHER,891514
K315,P.S. 17 - BROOKLYN,OTHER,8101620
K316,P.S. 316 - BROOKLYN,OTHER,234509
K316,P.S. 316 - BROOKLYN,ROOF,3368066
K317,P.S. 133 - BROOKLYN,OTHER,69736
K319,P.S. 319 - BROOKLYN,OTHER,185921
K320,M.S. 352 - BROOKLYN,OTHER,175000
K320,P.S. 375 - BROOKLYN,OTHER,7775431
K321,P.S. 321 - BROOKLYN,OTHER,7791807
K321,P.S. 321 - BROOKLYN,ROOF,2292009
K324,I.S. 267 - BROOKLYN,OTHER,774176
K327,P.S. 327 - BROOKLYN,OTHER,537758
K328,P.S. 328 - BROOKLYN,OTHER,453578
K328,P.S. 328 - BROOKLYN,ROOF,6034854
K330,P.S. 1 ANNEX - BROOKLYN,NEW SCHOOL,36266298
K331,I.S. 30 - BROOKLYN,OTHER,75000
K332,CHRISTOPHER AVENUE COMMUNITY S,OTHER,12412
K333,SUNSET PARK AVENUES ELEMENTARY,OTHER,292085
K335,P.S. 335 - BROOKLYN,OTHER,846552
K345,P.S. 345 - BROOKLYN,OTHER,9487570
K346,I.S. 452,OTHER,666304
K346,P.S. 346 - BROOKLYN,OTHER,404466
K356,I.S. 392 - BROOKLYN,OTHER,1368314
K356,P.S. 156 - BROOKLYN,OTHER,819245
K364,I.S. 364 - BROOKLYN,OTHER,465200
K368,P.S. 159 - BROOKLYN,OTHER,10007604
K369,COY L. COX SCHOOL,FLOOD,5128776
K369,COY L. COX SCHOOL,OTHER,843576
K371,K371 SPED - BROOKLYN,OTHER,748398
K376,P.S. 376 - BROOKLYN,OTHER,730618
K377,P.S. 377 - BROOKLYN,OTHER,1106711
K383,I.S. 383 - BROOKLYN,OTHER,621377
K384,P.S. 384 - BROOKLYN,OTHER,904206
K390,M.S. 334 - BROOKLYN,OTHER,130360
K390,M.S. 354 - BROOKLYN,OTHER,8416402
K391,I.S. 722 - BROOKLYN,OTHER,421395
K395,P.S. 109 - BROOKLYN,OTHER,1169269
K395,P.S. 109 - BROOKLYN,ROOF,4294276
K396,K396 SPED - BROOKLYN,OTHER,2968414
K397,P.S. 397 - BROOKLYN,OTHER,326000
K398,P.S. 398 - BROOKLYN,OTHER,1661045
K398,P.S. 770 - BROOKLYN,OTHER,528000
K399,P.S. 399 - BROOKLYN,OTHER,5821709
K405,MIDWOOD H.S.,OTHER,1123960
K405,MIDWOOD HS - BROOKLYN,OTHER,1174535
K406,MIDWOOD HS - BROOKLYN,OTHER,26976091
K415,IT TAKES A VILLAGE ACADEMY - K,FLOOD,24491400
K415,IT TAKES A VILLAGE ACADEMY - K,OTHER,3179500
K415,KURT HAHN EXPED LEARNING SCH,ROOF,4124621
K415,KURT HAHN EXPED LEARNING SCH -,OTHER,91000
K420,ACADEMY OF INNOV TECH - BROOKL,OTHER,634631
K420,BROOKLYN LAB SCHOOL - BROOKLYN,OTHER,303506
K420,CYPRESS HILLS COLLEGIATE - K,OTHER,1860530
K420,MULTICULTURAL HS - BROOKLYN,FLOOD,40778781
K420,MULTICULTURAL HS - BROOKLYN,OTHER,5335274
K420,MULTICULTURAL HS - BROOKLYN,ROOF,1028
K420,THE URBAN ASSEMBLY SCHOOL FOR,OTHER,42212
K422,ACAD. FOR YOUNG WRITERS - K,OTHER,35000
K422,K053 SPED - BROOKLYN,OTHER,147574
K422,SPRING CREEK COMMUNITY SCHOOL,OTHER,93444
K425,JAMES MADISON HS,OTHER,8266147
K425,JAMES MADISON HS - BROOKLYN,OTHER,3340060
K430,BROOKLYN TECH HS - K,OTHER,62533468
K430,BROOKLYN TECH HS - K,ROOF,25056901
K431,BROOKLYN TECH HS - K,OTHER,8589391
K435,FDNY - CAPTAIN VERNON A. RICHA,OTHER,197027
K435,HIGH SCHOOL FOR CIVIL RIGHTS -,OTHER,215000
K435,PERFORMING ARTS AND TECH. HS,OTHER,5331699
K435,PERFORMING ARTS AND TECH. HS -,OTHER,564986
K435,PERFORMING ARTS AND TECH. HS -,ROOF,16305
K435,WORLD ACAD FOR COMMUNITY HEALT,OTHER,231434
K436,HIGH SCHOOL FOR CIVIL RIGHTS -,OTHER,58478
K437,M.S. 839 - BROOKLYN,OTHER,35000
K440,BROOKLYN HS FOR SCI & THE ENVI,OTHER,445336
K440,THE INTERNATIONAL HS - BKLYN,FLOOD,25171964
K440,THE INTERNATIONAL HS - BROOKLY,OTHER,1135616
K445,NEW UTRECHT HS - BROOKLYN,OTHER,360077
K445,NEW UTRECHT HS - BROOKLYN,PENET,11937780
K450,EAST WILLIAMSBURG SCHOLARS ACA,OTHER,162000
K450,"HS OF ENTERPRISE, BUS. & TECH.",OTHER,262780
K450,PROGRESS HS - K,OTHER,1398798
K450,PROGRESS HS - K,ROOF,62595917
K451,PROGRESS HS - K,OTHER,1498869
K455,BOYS & GIRLS HS - BROOKLYN,OTHER,5830774
K456,BOYS & GIRLS HS - BROOKLYN,OTHER,567646
K458,BED-STUYVESANT PREPARATORY HS,ROOF,11520145
K458,BROOKLYN ACADEMY HS - BROOKLYN,OTHER,11170815
K458,LEADERSHIP PREP CHARTER - K,OTHER,345287
K460,CYBERARTS STUDIO ACADEMY - K,OTHER,129052
K460,MILLENIUM BROOKLYN HIGH SCHOOL,OTHER,69737
K460,PARK SLOPE COLLEGIATE - K,OTHER,35000
K460,SECONDARY SCHOOL FOR LAW - K,OTHER,10297284
K465,CAMPUS ACAD. FOR BUS. & TECH.,OTHER,170000
K465,ERASMUS YABC,OTHER,102344
K465,HS FOR SERVICE AND LEARNING -,OTHER,249624
K465,HS FOR YOUTH & COMMUNITY DEV.,OTHER,43407
K465,I.S. 382 - BROOKLYN,OTHER,1295273
K465,I.S. 382 - BROOKLYN,ROOF,5671694
K465,SCIENCE TECH & RESEARCH - K,OTHER,636407
K465,SCIENCE TECHNOLOGY & RESEARCH,OTHER,5777472
K470,H.S. 745 - BROOKLYN,OTHER,1536144
K470,I.S. 533 - BROOKLYN,OTHER,166740
K470,K036 SPED - BROOKLYN,OTHER,271626
K477,P.S. 172 - BROOKLYN,OTHER,8098161
K478,P.S. 190 - BROOKLYN,OTHER,8126108
K480,ACAD. FOR ENVIRON. LDRSHP - K,OTHER,1780133
K480,BKLYN SCHL FOR MATH AND RESRCH,OTHER,3352313
K480,BKLYN SCHL FOR SOCIAL JUSTICE,OTHER,3240511
K480,BRKLYN SCHL FOR SOCIAL JUSTICE,ROOF,21485796
K480,BROOKLYN SCHOOL FOR MATH AND R,OTHER,35000
K480,THE ACADEMY OF URBAN PLANNING,OTHER,35000
K480,THE BROOKLYN SCHOOL FOR SOCIAL,OTHER,884384
K485,TELECOM ARTS & TECHNOLOGY H.S.,OTHER,10526930
K485,TELECOM. ARTS & TECH. HS - K,OTHER,328782
K486,I.S. 187 - BROOKLYN,OTHER,1359004
K490,FORT HAMILTON HS - K,FLOOD,25844225
K490,FORT HAMILTON HS - K,OTHER,11270215
