BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET
K600,CLARA BARTON HS - K,OTHER,306681
K615,E NY VOC HS OF TRANSIT TECH.-K,OTHER,507293
K625,PATHWAYS IN TECHNOLOGY,FLOOD,13423264
K625,PATHWAYS IN TECHNOLOGY,OTHER,745316
K625,PATHWAYS IN TECHNOLOGY EARLY C,OTHER,256147
K653,I.S. 653 - BROOKLYN,NEW SCHOOL,91856144
K655,BROOKLYN HS OF THE ARTS,OTHER,2003718
K656,BROOKLYN HS OF THE ARTS,OTHER,11920936
K660,WILLIAM MAXWELL VOC HS - K,FLOOD,25924
K660,WILLIAM MAXWELL VOC HS - K,OTHER,13233637
K662,BROOKLYN DAILY DISCOVERY PRE-K,OTHER,76000
K663,K000 - BROOKLYN,OTHER,500000
K667,P.S./I.S. @ 3269 ATLANTIC AVE,NEW SCHOOL,96353132
K671,P.S. @ 836-841 5TH AVENUE,NEW SCHOOL,56097793
K671,P.S. @ 836-841 5TH AVENUE - BR,OTHER,7771563
K673,P.S. 18 - BROOKLYN,OTHER,8341071
K677,SUCCESS ACADEMY CHARTER SCHOOL,OTHER,12100
K682,P.S. @ 736 48TH ST - BROOKLYN,OTHER,9846657
K682,P.S. 896 - BROOKLYN,OTHER,26428
K693,P.S. 112 - BROOKLYN,OTHER,10236146
K694,STEM CENTER @ CLINTON STREET,OTHER,14977372
K707,P.S. 189 - BROOKLYN,OTHER,10528838
K710,PRE-K CENTER @ 168 8TH STREET,NEW SCHOOL,38149947
K721,BKLYN STUDIO SEC. SCL - B,ROOF,5523805
K721,BKLYN STUDIO SEC. SCL - BROOKL,OTHER,119362
K730,P.S. @ 4525 8TH AVENUE,NEW SCHOOL,50524662
K735,P.S. 245 - BROOKLYN,OTHER,264229
K743,ADULT AND CONTINUING EDUCATION,FLOOD,11066410
K743,ADULT LEARNING CENTER - BKLYN,OTHER,18382
K745,P.S. 132 - BROOKLYN,OTHER,9864493
K746,P.S. 746 - BROOKLYN,NEW SCHOOL,106562913
K747,DISTRICT 20 PRE-K CENTER,OTHER,7400
K747,PK/3K CENTER @ 21 BAY 11TH ST,OTHER,8009764
K748,P.S. @ ALBEE SQUARE WEST - K,OTHER,28872886
K763,THE MAURICE SENDAK COMMUNITY S,OTHER,273347
K767,DISTRICT 20 PRE-K CENTER,OTHER,512888
K768,K000 - BROOKLYN,OTHER,69750
K776,P.S. 152 - BROOKLYN,OTHER,382910
K778,EL PUENTE ACADEMY - BROOKLYN,ROOF,5791775
K781,WEST BROOKLYN COMMUNITY HS - K,OTHER,199576
K798,P.S. 65 - BROOKLYN,OTHER,208842
K799,ALC - BROOKLYN CHOICES,ROOF,7240832
K801,HEADQTRS 65 CNTRL ADMIN. - K,OTHER,12523821
K802,BOYS AND GIRLS YABC,OTHER,6700
K804,COBBLE  HILL SCHL OF AMER STDS,OTHER,397700
K805,BROOKLYN INTERNATIONAL HS - K,OTHER,167295
K805,SCIENCE SKILLS CENTER HS - K,OTHER,35000
K806,KHALIL GIBRAN INTERNATIONAL AC,OTHER,341063
K807,K370 SPED - BROOKLYN,OTHER,58000
K807,P.S. 163 - BROOKLYN,OTHER,625032
K819,EAST NY FAMILY ACAD.  - K,OTHER,35000
K824,ASPIRATIONS DIPLOMA HS - BROOK,OTHER,62000
K824,W.E.B.  DUBOIS HS - BROOKLYN,OTHER,40000
K831,DIV. COMPUTER INFO-DATA CNTR,OTHER,51550712
K834,K372 SPED - BROOKLYN,OTHER,35000
K834,P.S. 418 - BROOKLYN,OTHER,1784709
K843,K004 SPED - BROOKLYN,OTHER,100000
K845,I.S. 443 - BROOKLYN,OTHER,185000
K845,P.S. 295 - BROOKLYN,FLOOD,11297761
K845,P.S. 295 - BROOKLYN,OTHER,209417
K848,P.S. 149 - BROOKLYN,ROOF,2548363
K849,P.S. 134 - BROOKLYN,OTHER,50000
K852,P.S. 326 - BROOKLYN,OTHER,464107
K855,P.S. 135 - BROOKLYN,ROOF,393329
K860,P.S. 219 - BROOKLYN,OTHER,1689081
K864,P.S. 361 - BROOKLYN,OTHER,367538
K865,BUSHWICK LEADERS - K,OTHER,14019639
K874,I.S. 340 - BROOKLYN,OTHER,1332738
K902,I.S. 266 - BROOKLYN,OTHER,542520
K902,K077 SPED - BROOKLYN,OTHER,162474
K908,P.S. 230 - BROOKLYN,OTHER,609160
K909,ACORN COMMUNITY HS - K,OTHER,385400
K913,EBC HS FOR PUB. SERV. - BUSHWI,OTHER,278304
K914,BENJAMIN BANNEKER ACAD.,OTHER,318313
K917,BROOKLYN COLLEGE ACADEMY - K,OTHER,1024678
K932,PASSAGES ACADEMY,FLOOD,4453563
K971,P.S. 971 - BROOKLYN,OTHER,99236
K987,BROOKLYN HIGH SCHOOL FOR LAW A,OTHER,35000
K994,BEDFORD ACADEMY HS - K,OTHER,300000
KAGI,BROOKLYN PROSPECT CHARTER SCHO,OTHER,104713
KAIX,KEY COLLEGIATE CHARTER SCHOOL,OTHER,104000
KAKB,BEDFORD STUYVESANT COLLEGIATE,OTHER,485000
KAQJ,K000 - BROOKLYN,OTHER,102000
KBNU,BROOKLYN URBAN CHARTER SCHOOL,OTHER,70000
KBNU,K000 - BROOKLYN,OTHER,35000
L001,Q255 SPED - QUEENS,OTHER,35000
L001,Q256 SPED - QUEENS,OTHER,154986
M001,P.S. 1 - MANHATTAN,FLOOD,18419894
M001,P.S. 1 - MANHATTAN,OTHER,81396
M002,P.S. 2 - MANHATTAN,OTHER,85000
M003,P.S. 3 - MANHATTAN,OTHER,459262
M004,P.S. 4 - MANHATTAN,OTHER,1252305
M005,P.S. 5 - MANHATTAN,OTHER,946682
M006,P.S. 6 - MANHATTAN,OTHER,512545
M007,P.S. 7 - MANHATTAN,OTHER,49286
M008,P.S. 8 - MANHATTAN,OTHER,459723
M009,I.S. 243 - MANHATTAN,OTHER,126948
M009,P.S. 9 - MANHATTAN,OTHER,845413
M011,P.S. 11 - MANHATTAN,OTHER,29376391
M017,P.P.A.S. - MANHATTAN,FLOOD,11434443
M017,P.P.A.S. - MANHATTAN,OTHER,290221
M017,P.S. 212 - MANHATTAN,OTHER,190221
M019,I.S. 301 - MANHATTAN,OTHER,49621
M019,P.S. 19 - MANHATTAN,OTHER,159942
M019,P.S. 19 - MANHATTAN,ROOF,4265188
M020,P.S. 20 - MANHATTAN,OTHER,208945
M025,I.S. 378 - MANHATTAN,OTHER,486827
M025,LOWER EAST SIDE PREP HS - M,FLOOD,9320563
M025,LOWER EAST SIDE PREP HS - M,OTHER,246843
M025,MARTE VALLE HS - MANHATTAN,OTHER,1071427
M028,P.S. 28 - MANHATTAN,OTHER,11519773
M033,P.S. 33 - MANHATTAN,OTHER,1219989
M036,P.S. 36 - MANHATTAN,OTHER,3067776
M040,I.S. 255 - MANHATTAN,OTHER,128376
M040,P.S. 40 - MANHATTAN,OTHER,632132
M041,P.S. 41 - MANHATTAN,OTHER,709003
M042,P.S. 42 - MANHATTAN,OTHER,331239
M043,I.S. 286 - MANHATTAN,OTHER,153003
M043,I.S. 286 - MANHATTAN,ROOF,13276406
M043,I.S. 367 - MANHATTAN,OTHER,443027
M043,URBAN ASSEMBLY SCHOOL,OTHER,129871
M043,URBAN ASSEMBLY SCHOOL FOR THE,OTHER,104428
M044,I.S. 245 - MANHATTAN,OTHER,513486
M044,P.S. 334 - MANHATTAN,OTHER,222304
M047,J.H.S. 47 (SCH FOR THE DEAF) -,OTHER,539461
M048,P.S. 48 - MANHATTAN,OTHER,1261740
M052,J.H.S. 52 - MANHATTAN,FLOOD,3560375
M052,J.H.S. 52 - MANHATTAN,OTHER,926567
M054,I.S. 54 - MANHATTAN,OTHER,11425272
M056,J.H.S. 292 - MANHATTAN,OTHER,703059
M056,J.H.S. 292 - MANHATTAN,ROOF,5210525
M057,P.S. 57 - MANHATTAN,OTHER,5805269
M058,M035 SPED - MANHATTAN,OTHER,647302
M060,EAST SIDE COMMUNITY SCHOOL,OTHER,7942937
M060,EASTSIDE COMMUNITY HS - M,OTHER,5928388
M063,P.S. 63 - MANHATTAN,OTHER,1697817
M064,I.S. 839 - MANHATTAN,OTHER,465000
M064,P.S. 364 - MANHATTAN,OTHER,210000
M064,P.S. 64 - MANHATTAN,OTHER,880020
M066,P.S. 151 - MANHATTAN,OTHER,99518
M066,P.S. 151 - MANHATTAN,ROOF,2075560
M070,MUSEUM SCHOOL - MANHATTAN,OTHER,100000
M070,NYC LAB HS - MANHATTAN,OTHER,669907
M070,NYC LAB MIDDLE SCHOOL - M,OTHER,80000
M070,NYC LAB MIDDLE SCHOOL - MANHAT,OTHER,554029
M075,I.S. 250 - MANHATTAN,OTHER,98565
M075,P.S. 75 - MANHATTAN,OTHER,10468720
M079,M079 SPED - MANHATTAN,OTHER,462221
M081,ADULT AND CONTINUING EDUCATION,OTHER,986109
M081,DEMOCRACY PREP HARLEM CHARTER,OTHER,6268674
M081,LYFE,OTHER,3270826
M084,I.S. 247 - MANHATTAN,OTHER,92625
M084,P.S. 84 - MANHATTAN,OTHER,706215
M084,P.S. 84 - MANHATTAN,ROOF,2672693
M087,P.S. 87 - MANHATTAN,OTHER,11594500
M087,P.S. 87 - MANHATTAN,ROOF,10511867
M088,WADLEIGH SCNDRY SCHL FOR PERMG,OTHER,458266
M088,WADLEIGH SECONDARY SCHOOL,OTHER,419376
M088,WADLEIGH SECONDARY SCHOOL FOR,OTHER,121244
M090,I.S. 319 - MANHATTAN,OTHER,156547
M092,P.S. 92 - MANHATTAN,OTHER,5994032
M093,P.S. 210 - MANHATTAN,OTHER,428113
M096,P.S. 96 - MANHATTAN,OTHER,427651
M098,P.S. 98 - MANHATTAN,FLOOD,11177669
M098,P.S. 98 - MANHATTAN,OTHER,768151
M101,PS/IS 375 - MANHATTAN,OTHER,236211
M111,P.S. 111 - MANHATTAN,OTHER,376165
M111,P.S. 111 - MANHATTAN,ROOF,8444303
M113,P.S. 241 - MANHATTAN,FLOOD,2011067
M114,I.S. 114 - MANHATTAN,OTHER,35000
M114,I.S. 114 - MANHATTAN,ROOF,2165543
M115,P.S. 115 - MANHATTAN,OTHER,2427975
M116,P.S. 116 - MANHATTAN,OTHER,994939
M118,I.S. 258 - MANHATTAN,OTHER,508096
M118,LAFAYETTE ACADEMY - MANHATTAN,OTHER,5997372
M118,P.S. 333 - MANHATTAN,OTHER,674353
M118,P.S. 333 - MANHATTAN,ROOF,14395188
M123,P.S. 123 - MANHATTAN,OTHER,631396
M124,P.S. 124 - MANHATTAN,OTHER,147806
M125,I.S. 362 - MANHATTAN,OTHER,5812563
M125,P.S. 125 - MANHATTAN,FLOOD,9356516
M125,P.S. 125 - MANHATTAN,OTHER,1624273
M128,P.S. 128 - MANHATTAN,OTHER,11560514
M128,P.S. 513 - MANHATTAN,OTHER,34725
M129,P.S. 129 - MANHATTAN,FLOOD,33403242
M129,P.S. 129 - MANHATTAN,OTHER,83958
M130,P.S. 130 - MANHATTAN,OTHER,308630
M131,EMMA LAZARUS HIGH SCHOOL,OTHER,158965
M131,EMMA LAZARUS HIGH SCHOOL,ROOF,96930
M131,I.S. 131 - MANHATTAN,OTHER,420943
M131,PACE HIGH SCHOOL - MANHATTAN,OTHER,249235
M132,DOS PUENTES ELEMENTARY SCHOOL,OTHER,263257
M132,P.S. 132 - MANHATTAN,OTHER,10327306
M133,P.S. 133 - MANHATTAN,OTHER,610090
M134,P.S. 134 - MANHATTAN,ROOF,25966399
M136,I.S. 302 - MANHATTAN,OTHER,1417350
M136,MOTT HALL HS - MANHATTAN,OTHER,130000
M137,P.S. 184 - MANHATTAN,OTHER,2119856
M140,P.S. 140 - MANHATTAN,OTHER,266127
M140,P.S. 140 - MANHATTAN,ROOF,27689118
M142,P.S. 142 - MANHATTAN,OTHER,117907
M143,I.S. 143 - MANHATTAN,OTHER,1767317
M143,I.S. 348 - MANHATTAN,OTHER,300941
M144,P.S. 242 - MANHATTAN,FLOOD,3727819
M144,P.S. 242 - MANHATTAN,OTHER,6407253
M145,P.S. 145 - MANHATTAN,OTHER,5835668
M145,WEST PREP ACADEMY - MANHATTAN,OTHER,1230788
M149,P.S. 149 - MANHATTAN,OTHER,45535
M152,P.S. 152 - MANHATTAN,OTHER,3956359
M153,P.S. 153 - MANHATTAN,OTHER,459615
M153,P.S. 368 - MANHATTAN,OTHER,274235
M158,P.S. 158 - MANHATTAN,OTHER,3870701
M161,P.S. 161 - MANHATTAN,OTHER,163931
M163,P.S. 163 - MANHATTAN,OTHER,4241728
M164,I.S. 328 - MANHATTAN,OTHER,499958
M165,I.S. 862 - MANHATTAN,OTHER,10683
M165,P.S. 165 - MANHATTAN,OTHER,583925
M165,P.S. 165 - MANHATTAN,ROOF,24051544
M166,P.S. 166 - MANHATTAN,OTHER,930284
M166,P.S. 166 - MANHATTAN,ROOF,12808988
M167,I.S. 167 - MANHATTAN,OTHER,1515623
M169,M169 SPED - MANHATTAN,FLOOD,3292865
M169,M169 SPED - MANHATTAN,OTHER,917543
M171,P.S. 171 - MANHATTAN,FLOOD,17758493
M171,P.S. 171 - MANHATTAN,OTHER,9369420
M171,P.S. 964 - MANHATTAN,OTHER,100000
M173,I.S. 349 - MANHATTAN,OTHER,41000
M173,P.S. 173 - MANHATTAN,FLOOD,10781515
M173,P.S. 173 - MANHATTAN,OTHER,1009173
M175,P.S. 175 HENRY H GARNET - M,OTHER,767401
M176,P.S. 314 - MANHATTAN,OTHER,221895
M178,P.S. 178 - MANHATTAN,OTHER,493955
M180,P.S. 180 - MANHATTAN,OTHER,100000
M183,P.S. 183 - MANHATTAN,FLOOD,15001814
M183,P.S. 183 - MANHATTAN,OTHER,6541534
M185,P.S. 185 - MANHATTAN,OTHER,242566
M187,P.S. 187 - MANHATTAN,ROOF,4228934
M189,P.S. 189 - MANHATTAN,FLOOD,12957619
M189,P.S. 189 - MANHATTAN,OTHER,352756
M190,P.S. 290 - MANHATTAN,FLOOD,6396653
M190,P.S. 290 - MANHATTAN,OTHER,483629
M190,P.S. 290 - MANHATTAN,ROOF,1867239
M191,P.S. 452 - MANHATTAN,OTHER,787889
M191,THE RIVERSIDE SCHOOL FOR MAKER,OTHER,231177
M192,HAMILTON GRANGE MIDDLE SCHOOL,OTHER,421947
M192,P.S. 192 - MANHATTAN,OTHER,161647
M192,P.S. 325 - MANHATTAN,OTHER,140000
M194,P.S. 194 - MANHATTAN,FLOOD,4289972
M194,P.S. 194 - MANHATTAN,OTHER,288314
M195,I.S. 195 - MANHATTAN,OTHER,19270
M195,I.S. 195 - MANHATTAN,ROOF,2115329
M195,NEW DESIGN MIDDLE SCHOOL - M,OTHER,193841
M195,NEW DESIGN MIDDLE SCHOOL - MAN,OTHER,77939
M197,P.S. 197 - MANHATTAN,OTHER,51302
M198,P.S. 198 - MANHATTAN,OTHER,1634443
M198,P.S. 198 - MANHATTAN,ROOF,9775526
M198,P.S. 77 - MANHATTAN,OTHER,143250
M199,P.S. 199 - MANHATTAN,OTHER,1760534
M207,P.S. 149 - MANHATTAN,OTHER,424158
M218,I.S. 218 - MANHATTAN,OTHER,10837064
M218,I.S. 293 - MANHATTAN,OTHER,1064094
M218,I.S. 322 - MANHATTAN,OTHER,139242
M223,I.S. 223 - MANHATTAN,OTHER,246992
M233,P.S. 132 - MANHATTAN,OTHER,2034854
M234,P.S. 234 - MANHATTAN,OTHER,1902139
M263,P.S. 366 - MANHATTAN,OTHER,36000
M267,P.S. 267 - MANHATTAN,OTHER,410669
M267,P.S. 267 - MANHATTAN,ROOF,3304843
M282,RICHARD R. GREEN HS OF TEACHIN,OTHER,170000
M282,URBAN ASSEMBLY SCHOOL - MANHAT,OTHER,100000
M338,P.S. 51 - MANHATTAN,OTHER,100000
M371,P.S. 318 - MANHATTAN,OTHER,84233
M440,HUDSON HS OF LEARNING TECH - M,OTHER,200000
M440,HUMANITIES PREPARATORY ACAD,OTHER,2445752
M440,JAMES BALDWIN SCHOOL - M,FLOOD,8251565
M440,JAMES BALDWIN SCHOOL - M,OTHER,13010843
M440,JAMES BALDWIN SCHOOL - MANHATT,OTHER,477324
M440,LANDMARK HS - MANHATTAN,OTHER,179400
M440,MANHATTAN BUSINESS ACADEMY,OTHER,99246
M440,QUEST TO LEARN - MANHATTAN,OTHER,150000
M444,PRE-K CENTER @ 606 WEST 57TH,OTHER,7846851
M445,ESSEX STREET ACADEMY - M,OTHER,919466
M445,ESSEX STREET ACADEMY - MANHATT,OTHER,130704
M445,NEW DESIGN HS - MANHATTAN,OTHER,871187
M446,UNIVERSITY NEIGHBORHOOD HS - M,OTHER,46776
M451,LIBERTY HS ACADEMY FOR NEWCOME,OTHER,755952
M460,GRAMERCY ARTS HS - MANHATTAN,OTHER,2159120
M460,HS FOR LANGUAGE AND DIPLOMACY,OTHER,500
M460,INT'L HS AT UNION SQUARE - MAN,OTHER,100000
M460,UNION SQUARE ACADEMY FOR HLTH,OTHER,294000
M460,WASHINGTON IRVING H.S.,OTHER,3557964
M460,WASHINGTON IRVING HS - M,FLOOD,54608834
M460,WASHINGTON IRVING HS - M,OTHER,7673093
M464,P.S. @ TRINITY PLACE - M,NEW SCHOOL,52684200
M465,GEORGE WASHINGTON H.S.,OTHER,206533
M465,HS FOR HEALTH CAREER & SCIENCE,FLOOD,37803019
M465,HS FOR HEALTH CAREER & SCIENCE,OTHER,10818490
M465,HS FOR MEDIA & COMM - M,OTHER,1792116
M465,HS FOR MEDIA & COMM - MANHATTA,OTHER,39699
M465,THE COLLEGE ACADEMY - M,OTHER,2073939
M470,FRANK MCCOURT HS- MANHATTAN,OTHER,396620
M470,GLOBAL LEARNING COLLABORATIVE,OTHER,245289
M470,INNOVATION DIPLOMA PLUS,OTHER,555416
M470,THE GLOBAL LEARNING COLLABORAT,OTHER,72824
M470,URBAN ASSEMBLY SCHOOL,OTHER,3720428
M471,M000 - MANHATTAN,OTHER,7818842
M471,PRE-K CENTER @ 355 EAST 76 ST,OTHER,22194424
M475,HEALTH PROF & HUMAN  SVCS,OTHER,101319
M475,HS FOR HEALTH PROF & HUMAN SER,OTHER,100000
M475,INSTITUTE FOR COLLABORATIVE ED,OTHER,139999
M480,JULIA RICHMAN H.S.,OTHER,360127
M480,M226 SPED - MANHATTAN,OTHER,35000
M480,MANHATTAN INTERNATIONAL HS - M,OTHER,35000
M480,P.S. 225 - MANHATTAN,OTHER,40486
M480,TALENT UNLIMITED HS - M,OTHER,2109999
M480,TALENT UNLIMITED HS - MANHATTA,OTHER,119417
M480,URBAN ACADEMY LABORATORY HS -,OTHER,688911
M480,VANGUARD HS - MANHATTAN,OTHER,169639
M484,TEACHERS COLLEGE COMMUNITY SC,OTHER,7409856
M485,FIORELLO LAGUARDIA HS - M,OTHER,9357413
M485,FIORELLO LAGUARDIA HS - MANHAT,OTHER,1184701
M486,J. K. ONASSIS HS FOR INT CAREE,OTHER,199703
M486,JK ONASSIS HS FOR INT CAREERS,FLOOD,5953123
M488,ART & DESIGN VOC HS - MANHATTA,OTHER,194561
M488,P.S. 59 - MANHATTAN,OTHER,249249
M490,HS FOR ARTS & TECHNOLOGY - M,OTHER,604380
M490,HS FOR ARTS & TECHNOLOGY - M,ROOF,15472041
M490,HUNTER SCIENCE HS - MANHATTAN,OTHER,550044
M490,MANHATTAN THEATER LAB - MANHAT,OTHER,5654
M490,P.S. 859 - MANHATTAN,OTHER,111662
M493,P.S. @ HUDSON SQUARE - M,NEW SCHOOL,46651408
M501,URBAN ASMBLY SCHL GLBL COMMRCE,OTHER,10299168
M506,EDWARD REYNOLDS WEST SIDE HS,FLOOD,13507
M506,EDWARD REYNOLDS WEST SIDE HS,ROOF,4785528
M510,CASCADES CTR FOR TCHING & LNG,OTHER,704914
M510,SATELLITE AT FORSYTHE,FLOOD,10818577
M510,SATELLITE AT FORSYTHE,OTHER,368762
M520,BERGTRAUM HS - MANHATTAN,OTHER,12308306
M520,BERGTRAUM HS (ECF),OTHER,37135
M520,MANHATTAN EARLY COLLEGE SCHOOL,OTHER,311956
M520,URBAN ASSEMBLY MAKER ACADEMY,OTHER,100000
M528,I.S. 528 - MANHATTAN,OTHER,139695
M535,FACING HISTORY SCHOOL - MANHAT,OTHER,50000
M535,MANHATTAN BRIDGES - MANHATTAN,OTHER,918577
M535,PARK WEST HS (ECF),OTHER,62199472
M535,URBAN ASSEMBLY HS - MANHATTAN,OTHER,119875
M540,A. PHILIP RANDOLPH HS -M,FLOOD,68411835
M540,A. PHILIP RANDOLPH HS -M,OTHER,2372796
M540,A. PHILIP RANDOLPH HS -MANHATT,OTHER,311805
M600,FASHION INDUSTRIES VOC HS - M,FLOOD,17324345
M600,FASHION INDUSTRIES VOC HS - M,OTHER,401544
M615,CHELSEA VOC HS - MANHATTAN,OTHER,50000
M615,NYC ISCHOOL - MANHATTAN,OTHER,100924
M620,MANHATTAN ACADEMY OF ARTS AND,OTHER,401651
M620,MURRAY HILL ACADEMY HS - M,FLOOD,17706054
M620,MURRAY HILL ACADEMY HS - M,OTHER,15093885
M620,NORMAN THOMAS H.S.,OTHER,31830
M620,NORMAN THOMAS HS - MANHATTAN,OTHER,2429952
M620,UNITY HS - MANHATTAN,OTHER,431011
M625,GRAPHIC COMMUNICATION ARTS,OTHER,34483
M625,HS OF GRAPHIC COMM. ARTS (VOC),OTHER,13103666
M625,HS OF GRAPHIC COMM. ARTS (VOC),ROOF,10546098
M625,STEPHEN T. MATHER BUILDING ART,OTHER,1242346
M625,THE BUSINESS OF SPORTS SCHOOL,OTHER,100000
M634,NEW YORK HARBOR SCHOOL ANNEX,OTHER,25626441
M641,CITY-AS-SCHOOL - MANHATTAN,OTHER,158150
M641,M721 SPED - MANHATTAN,OTHER,12309978
M660,SCHOOL OF THE FUTURE - MANHATT,OTHER,130240
M661,OLD MABLE DEAN BACON VOC HS AX,OTHER,924272
M751,M751 SPED - MANHATTAN,OTHER,599133
M812,"HS FOR MATH, SCI AND ENGINEERI",OTHER,99010
M814,I.S. 346 - MANHATTAN,OTHER,35000
M816,P.S. 527 - MANHATTAN,OTHER,200000
M832,LANDMARK H.S. @ COALITION,OTHER,31830
M833,HS FOR ECONOMICS & FINANCE - M,OTHER,161362
M834,HS FOR ENVIRONMENTAL STUDIES,OTHER,4965092
M834,HS FOR ENVIRONMENTAL STUDIES -,OTHER,221275
M834,INDEPENDENCE HS - MANHATTAN,OTHER,50000
M837,WEST END SECONDARY SCHOOL - M,OTHER,24031110
M837,WEST END SECONDARY SCHOOL - MA,OTHER,314945
M841,M811 SPED - MANHATTAN,FLOOD,6725926
M845,P.S. 98 - MANHATTAN,OTHER,270117
M847,P.S. 152 - MANHATTAN,OTHER,10130615
M855,ELEANOR ROOSEVELT HS - MANHATT,OTHER,163053
M860,P.S. 343 - MANHATTAN,OTHER,676994
M874,BARUCH COLLEGE CAMPUS HS - M,OTHER,200000
M876,GREGORIO LUPERON PREP. SCHOOL,OTHER,7051961
M883,COALITION H.S. - LEGACY,OTHER,31830
M883,HARVEST COLLEGIATE HIGH SCHOOL,OTHER,64972
M894,HS FOR LEADERSHIP & PUBLIC SER,OTHER,80000
M894,LEADERSHIP & PUBLIC SERVICE HS,OTHER,34483
M896,NYC PUBLIC SCHOOL REPERTORY CO,OTHER,448785
M898,P.S. 18 - MANHATTAN,OTHER,75000
M911,HARLEM RENAISSANCE HS - M,OTHER,100000
M912,BEACON HS - MANHATTAN,OTHER,50000
M912,M035 SPED - MANHATTAN,OTHER,100000
M916,TEACHER'S COLLEGE COMMUNITY SC,OTHER,298424
M916,TEACHERS COLLEGE COMMUNITY SC,OTHER,100000
M918,P.S./I.S. 278 - MANHATTAN,OTHER,125000
M920,SATELLITE ACADEMY - M,OTHER,81644
M932,P.S. 859 - MANHATTAN,OTHER,842333
M933,CITY KNOLL MIDDLE SCHOOL,OTHER,88515
M970,THURGOOD MARSHALL ACADEMY - M,OTHER,116519
M970,THURGOOD MARSHALL ACADEMY - MA,OTHER,29096
M971,M094 SPED - MANHATTAN,OTHER,99249
MJJC,M000 - MANHATTAN,OTHER,1028135
Q002,P.S. 2 - QUEENS,OTHER,48433819
Q003,P.S. 303 - QUEENS,OTHER,80879043
Q005,I.S. 5 - QUEENS,OTHER,7483200
Q005,Q009 SPED - QUEENS,OTHER,35000
Q007,P.S. 7 - QUEENS,OTHER,11595495
Q007,Q255 SPED - QUEENS,OTHER,135000
Q008,J.H.S. 8 - QUEENS,OTHER,1102333
Q008,THE EMERSON SCHOOL - QUEENS,OTHER,189174
Q008,YORK EARLY COLLEGE ACADEMY - Q,OTHER,593019
Q009,Q009 SPED - QUEENS,FLOOD,12612626
Q009,Q009 SPED - QUEENS,OTHER,2014149
Q010,I.S. 10 - QUEENS,OTHER,863765
Q011,P.S. 11 - QUEENS,OTHER,280191
Q012,P.S. 12 - QUEENS,OTHER,313606
Q013,P.S. 13 - QUEENS,OTHER,627940
Q014,P.S. 14 - QUEENS,OTHER,927832
Q015,P.S. 15 - QUEENS,OTHER,833113
Q017,P.S. 17 - QUEENS,OTHER,293296
Q018,P.S. 18 - QUEENS,OTHER,120000
Q019,P.S. 19 - QUEENS,OTHER,280606
Q020,P.S. 20 - QUEENS,FLOOD,7213757
Q020,P.S. 20 - QUEENS,OTHER,6887366
Q021,P.S. 21 - QUEENS,OTHER,316013
Q022,P.S. 22 - QUEENS,FLOOD,3319890
Q022,P.S. 22 - QUEENS,OTHER,3778309
Q023,QUEENS ACADEMY HIGH SCHOOL - Q,OTHER,544758
Q024,P.S. 24 - QUEENS,OTHER,556042
Q025,J.H.S. 25 - QUEENS,OTHER,1622171
Q025,WORLD JOURNALISM PREPARATORY-Q,OTHER,440864
Q026,P.S. 26 - QUEENS,OTHER,8460625
Q028,P.S. 28 - QUEENS,OTHER,300000
Q029,P.S. 29 - QUEENS,FLOOD,1946285
Q029,P.S. 29 - QUEENS,OTHER,84730
Q030,P.S. 354 - QUEENS,OTHER,4889563
Q031,P.S. 31 - QUEENS,OTHER,17201978
Q032,P.S. 32 - QUEENS,OTHER,1638089
Q033,P.S. 33 - QUEENS,OTHER,1912016
Q034,P.S. 34 - QUEENS,OTHER,3561632
Q035,P.S. 35 - QUEENS,OTHER,1186385
Q036,P.S. 36 - QUEENS,OTHER,7193016
Q037,P.S. 37 - QUEENS,FLOOD,17220853
Q037,P.S. 37 - QUEENS,OTHER,8788732
Q038,P.S. 38 - QUEENS,OTHER,1184732
Q040,P.S. 40 - QUEENS,FLOOD,11130411
Q040,P.S. 40 - QUEENS,OTHER,182000
Q041,P.S. 41 - QUEENS,OTHER,56553268
Q041,Q993 SPED - QUEENS,OTHER,35000
Q045,P.S. 45 - QUEENS,FLOOD,13409105
Q045,P.S. 45 - QUEENS,OTHER,372091
Q046,P.S. 46 - QUEENS,OTHER,73783916
Q048,Q075 SPED - QUEENS,OTHER,739257
Q048,Q075 SPED - QUEENS,ROOF,5406367
Q049,P.S. 49 - QUEENS,OTHER,397540
Q050,P.S. 50 - QUEENS,OTHER,253000
Q051,P.S. 51 - QUEENS,OTHER,49183
Q052,P.S. 52 - QUEENS,OTHER,871481
Q053,I.S. 319 - QUEENS,OTHER,3926036
Q053,I.S. 53 - QUEENS,FLOOD,19168787
Q053,I.S. 53 - QUEENS,OTHER,15011342
Q054,P.S. 54 - QUEENS,OTHER,673552
Q055,P.S. 55 - QUEENS,OTHER,6822570
Q056,P.S. 56 - QUEENS,OTHER,1687677
Q058,P.S. 58 - QUEENS,OTHER,1148037
Q058,Q009 SPED - QUEENS,OTHER,35000
Q059,I.S. 59 - QUEENS,OTHER,1532101
Q060,P.S. 60 - QUEENS,OTHER,100000
Q061,I.S. 61 - QUEENS,OTHER,184735
Q061,I.S. 61 - QUEENS,ROOF,6513317
Q062,P.S. 62 - QUEENS,OTHER,553636
