BLD_CODE,SCH_NAME,TYPE,TOTAL_BUDGET,NOR_DATA
M045,COAL. SCHOOL FOR SOCIAL CHANGE,OTHER,101878,520
M045,I.S. 45 - MANHATTAN,OTHER,34483,176
M045,SCHOOL BASED HEALTH CENTER - M,OTHER,34808,178
M046,P.S. 46 - MANHATTAN,OTHER,374650,1911
M050,P.S. 50 - MANHATTAN,OTHER,1048262,5348
M050,P.S. 50 - MANHATTAN,ROOF,18049678,92090
M050,P.S. 964 - MANHATTAN,OTHER,200000,1020
M061,P.S. 315 - MANHATTAN,OTHER,434215,2215
M061,P.S. 361 - MANHATTAN,OTHER,50000,255
M072,P.S. 72 - MANHATTAN,OTHER,647635,3304
M083,P.S. 182 - MANHATTAN,OTHER,250000,1276
M083,P.S. 83 - MANHATTAN,OTHER,11662604,59503
M089,I.S. 89 - MANHATTAN,OTHER,151479,773
M089,P.S. 89 - MANHATTAN,OTHER,291178,1486
M097,BARD COLLEGE HS - MANHATTAN,OTHER,458289,2338
M099,I.S. 224 - MANHATTAN,OTHER,12877,66
M102,P.S. 102 - MANHATTAN,FLOOD,15175291,77425
M102,P.S. 102 - MANHATTAN,OTHER,60000,306
M102,P.S. 102 - MANHATTAN,ROOF,106851,545
M104,I.S. 104 - MANHATTAN,OTHER,1073372,5476
M107,THE HERITAGE SCHOOL - MANHATTA,OTHER,364439,1859
M108,P.S. 108 - MANHATTAN,OTHER,10478992,53464
M110,P.S. 110 - MANHATTAN,OTHER,184945,944
M112,P.S. 112 - MANHATTAN,OTHER,9648,49
M117,I.S. 12 - MANHATTAN,OTHER,1776455,9064
M117,I.S. 372 - MANHATTAN,OTHER,36805,188
M117,J.H.S. 117 - MANHATTAN,OTHER,34483,176
M121,P.S. 38 - MANHATTAN,OTHER,12741148,65006
M126,P.S. 126 - MANHATTAN,OTHER,514766,2626
M126,P.S. 126 - MANHATTAN,ROOF,30488381,155553
M146,P.S. 146 - MANHATTAN,OTHER,53987,275
M155,I.S. 377 - MANHATTAN,OTHER,149249,761
M155,P.S. 155 - MANHATTAN,OTHER,172367,879
M170,AMBER CHARTER SCHOOL - M,OTHER,608000,3102
M188,P.S. 188 - MANHATTAN,OTHER,156225,797
M200,P.S. 200 - MANHATTAN,OTHER,330236,1685
M206,P.S. 206 - MANHATTAN,OTHER,247666,1264
M271,P.S./I.S. 217 - MANHATTAN,OTHER,293289,1496
M271,P.S./I.S. 217 - MANHATTAN,ROOF,2034189,10379
M276,P.S./I.S. 276 - MANHATTAN,OTHER,204549,1044
M343,P.S. 343 - MANHATTAN,OTHER,112000,571
M435,MANHTN CT FOR MATH & SCI. HS,OTHER,409592,2090
M435,MANHTN CT FOR MATH & SCI. HS -,OTHER,186000,949
M477,M226 SPED - MANHATTAN,OTHER,4881293,24905
M477,STUYVESANT HS - MANHATTAN,OTHER,912808,4657
M495,PARK EAST ALT HS,OTHER,221097,1128
M495,PARK EAST HS - MANHATTAN,OTHER,126507,645
M645,LIFE SCIENCE SECONDARY SCHOOL,OTHER,3920075,20000
M824,MILLENNIUM HS - MANHATTAN,OTHER,95110,485
M877,NEW YORK HARBOR SCHOOL - M,OTHER,1200000,6122
M877,NEW YORK HARBOR SCHOOL - MANHA,OTHER,250716,1279
M895,YOUNG WOMEN'S LEADERSHIP SCHOO,OTHER,224424,1145
MAEG,JOHN V. LINDSAY WILDCAT ACADEM,OTHER,122071,623
Q042,P.S. 42 - QUEENS,OTHER,437986,2235
Q042,P.S. 42 - QUEENS,SANDY,21183887,108081
Q043,P.S. 43 - QUEENS,OTHER,3730239,19032
Q043,P.S. 43 - QUEENS,SANDY,1862059,9500
Q047,P.S. 47 - QUEENS,OTHER,218816,1116
Q047,P.S. 47 - QUEENS,ROOF,3773462,19252
Q098,P.S. 98 - QUEENS,OTHER,1885003,9617
Q105,P.S. 105 - QUEENS,OTHER,328045,1674
Q105,P.S. 105 - QUEENS,SANDY,5495074,28036
Q106,P.S. 106 - QUEENS,OTHER,134692,687
Q111,P.S. 111 - QUEENS,OTHER,898140,4582
Q114,P.S. 114 - QUEENS,OTHER,249865,1275
Q114,P.S. 114 - QUEENS,SANDY,23359268,119180
Q126,I.S. 126 - QUEENS,OTHER,1744199,8899
Q126,THE 30TH AVENUE SCHOOL,OTHER,576647,2942
Q146,P.S. 146 - QUEENS,OTHER,1654927,8444
Q171,P.S. 171 - QUEENS,OTHER,2053516,10477
Q180,THE SCHOLARS ACADEMY - QUEENS,OTHER,3715746,18958
Q183,P.S. 183 - QUEENS,OTHER,1937213,9884
Q195,P.S. 195 - QUEENS,OTHER,385890,1969
Q195,P.S. 195 - QUEENS,SANDY,100000,510
Q197,P.S. 197 - QUEENS,OTHER,342820,1749
Q197,P.S. 197 - QUEENS,ROOF,5882572,30013
Q198,CHALLENGE PREP CHARTER SCHOOL,OTHER,49985,255
Q198,P.S. 333 - QUEENS,SANDY,5159468,26324
Q207,P.S. 207 - QUEENS,OTHER,703743,3591
