BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,TOT_BUDGET
K320,40.665199,-73.959484,0,0,472,0,7950431,0,0,0,0,0,7950431
K321,40.671816,-73.978633,0,0,1381,0,7791807,0,0,2292009,0,2292009,10083816
K324,40.68797,-73.932066,0,0,968,0,774176,0,0,0,0,0,774176
K327,40.668232,-73.911788,0,0,292,0,537758,0,0,0,0,0,537758
K328,40.667985,-73.898249,0,0,737,0,453578,0,0,6034854,0,6034854,6488432
K329,40.574666,-73.99577,1,1,388,0,165536,0,0,0,0,0,165536
K331,40.633598,-74.02395,0,0,994,0,75000,0,0,0,0,0,75000
K332,40.672216,-73.906018,0,0,1518,0,12412,0,0,0,0,0,12412
K333,40.650793,-74.008106,0,0,500,0,292085,0,0,0,0,0,292085
K335,40.674491,-73.928673,0,0,255,0,846552,0,0,0,0,0,846552
K338,40.644861,-73.97101,0,0,349,0,0,0,0,0,0,0,0
K345,40.676207,-73.879886,0,0,547,0,9487570,0,0,0,0,0,9487570
K346,40.64664,-73.881997,0,0,904,0,1070770,0,0,0,0,0,1070770
K356,40.665553,-73.91788,0,0,949,0,2187559,0,0,0,0,0,2187559
K364,40.646211,-73.881115,0,0,329,0,465200,0,0,0,0,0,465200
K366,40.647396,-73.891743,1,1,399,0,484508,0,0,0,0,0,484508
K369,40.687432,-73.983312,0,0,534,0,843576,5128776,0,0,0,5128776,5972352
K370,40.577709,-73.969872,1,1,249,0,809460,0,0,0,0,0,809460
K371,40.654306,-74.005168,0,0,250,0,748398,0,0,0,0,0,748398
K376,40.69805,-73.920187,0,0,528,0,730618,0,0,0,0,0,730618
K377,40.693542,-73.915159,0,0,695,0,1106711,0,0,0,0,0,1106711
K380,40.70179,-73.953702,0,1,570,0,496365,0,0,0,0,0,496365
K383,40.697898,-73.919088,0,0,1827,0,621377,0,0,0,0,0,621377
K384,40.689883,-73.904695,0,0,505,0,904206,0,0,0,0,0,904206
K390,40.67229,-73.937601,0,0,1167,0,8546762,0,0,0,0,0,8546762
K391,40.662092,-73.936313,0,0,1551,0,421395,0,0,0,0,0,421395
K395,40.635842,-73.933099,0,0,582,0,1169269,0,0,4294276,0,4294276,5463545
K396,40.668232,-73.911788,0,0,425,0,2968414,0,0,0,0,0,2968414
K397,40.658663,-73.946358,0,0,187,0,326000,0,0,0,0,0,326000
K398,40.663388,-73.927979,0,0,603,0,2189045,0,0,0,0,0,2189045
K399,40.648277,-73.951664,0,0,330,0,5821709,0,0,0,0,0,5821709
K400,40.593028,-73.986313,1,1,1921,0,3855718,0,0,8780125,0,8780125,12635843
K405,40.632829,-73.952356,0,0,4156,0,2298495,0,0,0,0,0,2298495
K410,40.582627,-73.968733,1,1,1904,0,858443,0,0,0,0,0,858443
K415,40.647728,-73.922212,0,0,1235,0,3270500,24491400,0,4124621,0,28616021,31886521
K420,40.693002,-73.869305,0,0,1759,0,8176153,40778781,0,1028,0,40779809,48955962
K422,40.657266,-73.874064,0,0,1079,0,276018,0,0,0,0,0,276018
K425,40.610499,-73.947661,0,0,3797,0,11606207,0,0,0,0,0,11606207
K430,40.688896,-73.976435,0,0,5937,0,62533468,0,0,25056901,0,25056901,87590369
K435,40.666868,-73.895122,0,0,1175,0,6540146,0,0,16305,0,16305,6556451
K437,40.647598,-73.973363,0,0,345,0,35000,0,0,0,0,0,35000
K440,40.669805,-73.960689,0,0,1259,0,1580952,25171964,0,0,0,25171964,26752916
K445,40.613041,-74.002308,0,0,3427,0,360077,0,11937780,0,0,11937780,12297857
K450,40.711134,-73.938921,0,0,1809,0,1823578,0,0,62595917,0,62595917,64419495
K455,40.678478,-73.931604,0,0,983,0,5830774,0,0,0,0,0,5830774
K458,40.684654,-73.947873,0,0,504,0,11516102,0,0,11520145,0,11520145,23036247
K460,40.669255,-73.97858,0,0,2069,0,10531073,0,0,0,0,0,10531073
K465,40.649602,-73.957173,0,0,1896,0,8274527,0,0,5671694,0,5671694,13946221
K470,40.658671,-73.943839,0,0,1229,0,1974510,0,0,0,0,0,1974510
K480,40.696457,-73.911751,0,0,1081,0,9327341,0,0,21485796,0,21485796,30813137
K485,40.636721,-74.023419,0,0,1235,0,10855712,0,0,0,0,0,10855712
K486,40.627929,-74.003883,0,0,953,0,1359004,0,0,0,0,0,1359004
K490,40.626827,-74.038103,0,0,4559,0,11270215,25844225,0,0,0,25844225,37114440
K495,40.593157,-73.936635,1,1,1248,0,1260897,0,0,0,0,0,1260897
K500,40.640543,-73.898601,0,0,964,0,564893,10729817,0,0,0,10729817,11294710
K505,40.621299,-73.982583,0,0,3214,0,642626,0,0,0,0,0,642626
K515,40.634451,-73.916927,0,1,1402,0,15838092,0,0,0,0,0,15838092
K520,40.690007,-73.989369,0,0,184,0,0,0,0,0,0,0,0
K525,40.619671,-73.959141,0,0,3693,0,3527508,0,0,0,0,0,3527508
K535,40.578356,-73.934449,1,1,1057,0,601985,0,0,0,0,0,601985
