BLD_CODE,LAT,LON,FLOOD_2020,FLOOD_2050,Sum of TOT_ENRO,NEW SCHOOLS,OTHER,FLOOD,PENETRATION,ROOF,SANDY,MIT_BUDGET,value,id_OTHER,id_FLOOD,id_PENETRATION,id_ROOF,id_SANDY
K075,40.693261,-73.921336,0,0,308,0,89997,4729708,0,0,0,4729708,4819705,1,1,0,0,0
K078,40.620537,-73.912914,1,1,1115,0,1962705,0,0,0,0,0,1962705,1,0,0,0,0
K081,40.692866,-73.935123,0,0,286,0,278000,0,0,0,0,0,278000,1,0,0,0,0
K084,40.715089,-73.963808,0,0,764,0,124000,0,0,0,0,0,124000,1,0,0,0,0
K085,40.682576,-73.969248,0,0,265,0,6674496,0,0,0,0,0,6674496,1,0,0,0,0
K086,40.700595,-73.917804,0,0,354,0,745508,0,0,0,0,0,745508,1,0,0,0,0
K088,40.660805,-73.988743,0,0,1895,0,1376392,0,0,0,0,0,1376392,1,0,0,0,0
K090,40.578192,-73.980387,1,1,638,0,416740,0,0,0,0,0,416740,1,0,0,0,0
K091,40.661806,-73.940707,0,0,254,0,847855,0,0,0,0,0,847855,1,0,0,0,0
K092,40.656276,-73.95381,0,0,656,0,14124310,0,0,0,0,0,14124310,1,0,0,0,0
K093,40.679079,-73.946381,0,0,220,0,47301,0,0,0,0,0,47301,1,0,0,0,0
K094,40.64373,-74.008795,0,0,1283,0,2859371,9815491,0,0,0,9815491,12674862,1,1,0,0,0
K095,40.595996,-73.974664,0,0,982,0,5641601,0,0,0,0,0,5641601,1,0,0,0,0
K096,40.608135,-73.984985,0,0,1313,0,199328,0,0,0,0,0,199328,1,0,0,0,0
K097,40.601191,-73.98557,0,0,770,0,69359691,0,0,0,0,0,69359691,1,0,0,0,0
K099,40.621474,-73.966031,0,0,861,0,599271,0,0,0,0,0,599271,1,0,0,0,0
K100,40.577591,-73.97083,1,1,822,0,1793196,0,0,0,0,0,1793196,1,0,0,0,0
K101,40.597379,-73.991962,1,1,877,0,82430431,0,0,0,0,0,82430431,1,0,0,0,0
K102,40.634318,-74.028758,0,0,1424,0,701347,0,0,12966731,0,12966731,13668078,1,0,0,1,0
K104,40.618077,-74.028492,0,0,1244,0,8520522,13424652,0,0,0,13424652,21945174,1,1,0,0,0
K105,40.63332,-74.003635,0,0,1414,0,894710,7843954,0,0,0,7843954,8738664,1,1,0,0,0
K106,40.693318,-73.913378,0,0,399,0,100865,0,0,0,0,0,100865,1,0,0,0,0
K107,40.662945,-73.981181,0,0,551,0,243181,0,0,4896266,0,4896266,5139447,1,0,0,1,0
K108,40.681295,-73.884348,0,0,934,0,1169560,0,0,0,0,0,1169560,1,0,0,0,0
K110,40.723743,-73.941926,0,0,557,0,242464,0,0,0,0,0,242464,1,0,0,0,0
K111,40.70081,-73.927938,0,0,640,0,569036,0,0,0,0,0,569036,1,0,0,0,0
K112,40.619417,-74.000565,0,0,685,0,95845,0,0,0,0,0,95845,1,0,0,0,0
K113,40.688769,-73.971474,0,0,661,0,518478,0,0,0,0,0,518478,1,0,0,0,0
K114,40.642684,-73.90788,0,0,1050,0,675196,0,0,0,0,0,675196,1,0,0,0,0
K115,40.634861,-73.897896,0,0,902,0,193596,0,0,0,0,0,193596,1,0,0,0,0
K116,40.698077,-73.916563,0,0,352,0,326713,0,0,0,0,0,326713,1,0,0,0,0
K117,40.692015,-73.95818,0,0,626,0,295935,0,0,0,0,0,295935,1,0,0,0,0
K119,40.626038,-73.938733,0,0,447,0,1516298,0,0,0,0,0,1516298,1,0,0,0,0
K120,40.700819,-73.937888,0,0,381,0,960708,0,0,0,0,0,960708,1,0,0,0,0
K121,40.622671,-73.978472,0,0,337,0,249485,0,0,5643858,0,5643858,5893343,1,0,0,1,0
K123,40.704076,-73.922388,0,0,587,0,210448,0,0,0,0,0,210448,1,0,0,0,0
