M030,M138 SPED - MANHATTAN,OTHER,238886
M030,P.S. 30 - MANHATTAN,OTHER,565937
M030,P.S. 30 - MANHATTAN,ROOF,5007064
M034,P.S. 34 - MANHATTAN,OTHER,100000
M045,COAL. SCHOOL FOR SOCIAL CHANGE,OTHER,101878
M045,I.S. 45 - MANHATTAN,OTHER,34483
M045,SCHOOL BASED HEALTH CENTER - M,OTHER,34808
M046,P.S. 46 - MANHATTAN,OTHER,374650
M050,P.S. 50 - MANHATTAN,OTHER,1048262
M050,P.S. 50 - MANHATTAN,ROOF,18049678
M050,P.S. 964 - MANHATTAN,OTHER,200000
M061,P.S. 315 - MANHATTAN,OTHER,434215
M061,P.S. 361 - MANHATTAN,OTHER,50000
M072,P.S. 72 - MANHATTAN,OTHER,647635
M083,P.S. 182 - MANHATTAN,OTHER,250000
M083,P.S. 83 - MANHATTAN,OTHER,11662604
M089,I.S. 89 - MANHATTAN,OTHER,151479
M089,P.S. 89 - MANHATTAN,OTHER,291178
M097,BARD COLLEGE HS - MANHATTAN,OTHER,458289
M099,I.S. 224 - MANHATTAN,OTHER,12877
M102,P.S. 102 - MANHATTAN,FLOOD,15175291
M102,P.S. 102 - MANHATTAN,OTHER,60000
M102,P.S. 102 - MANHATTAN,ROOF,106851
M104,I.S. 104 - MANHATTAN,OTHER,1073372
M107,THE HERITAGE SCHOOL - MANHATTA,OTHER,364439
M108,P.S. 108 - MANHATTAN,OTHER,10478992
M110,P.S. 110 - MANHATTAN,OTHER,184945
M112,P.S. 112 - MANHATTAN,OTHER,9648
M117,I.S. 12 - MANHATTAN,OTHER,1776455
M117,I.S. 372 - MANHATTAN,OTHER,36805
M117,J.H.S. 117 - MANHATTAN,OTHER,34483
M121,P.S. 38 - MANHATTAN,OTHER,12741148
M126,P.S. 126 - MANHATTAN,OTHER,514766
M126,P.S. 126 - MANHATTAN,ROOF,30488381
M146,P.S. 146 - MANHATTAN,OTHER,53987
M155,I.S. 377 - MANHATTAN,OTHER,149249
M155,P.S. 155 - MANHATTAN,OTHER,172367
M170,AMBER CHARTER SCHOOL - M,OTHER,608000
M188,P.S. 188 - MANHATTAN,OTHER,156225
M200,P.S. 200 - MANHATTAN,OTHER,330236
M206,P.S. 206 - MANHATTAN,OTHER,247666
M271,P.S./I.S. 217 - MANHATTAN,OTHER,293289
M271,P.S./I.S. 217 - MANHATTAN,ROOF,2034189
M276,P.S./I.S. 276 - MANHATTAN,OTHER,204549
M343,P.S. 343 - MANHATTAN,OTHER,112000
M435,MANHTN CT FOR MATH & SCI. HS,OTHER,409592
M435,MANHTN CT FOR MATH & SCI. HS -,OTHER,186000
M477,M226 SPED - MANHATTAN,OTHER,4881293
M477,STUYVESANT HS - MANHATTAN,OTHER,912808
M495,PARK EAST ALT HS,OTHER,221097
M495,PARK EAST HS - MANHATTAN,OTHER,126507
M645,LIFE SCIENCE SECONDARY SCHOOL,OTHER,3920075
M824,MILLENNIUM HS - MANHATTAN,OTHER,95110
M877,NEW YORK HARBOR SCHOOL - M,OTHER,1200000
M877,NEW YORK HARBOR SCHOOL - MANHA,OTHER,250716
M895,YOUNG WOMEN'S LEADERSHIP SCHOO,OTHER,224424
MAEG,JOHN V. LINDSAY WILDCAT ACADEM,OTHER,122071
Q042,P.S. 42 - QUEENS,OTHER,437986
Q042,P.S. 42 - QUEENS,SANDY,21183887
Q043,P.S. 43 - QUEENS,OTHER,3730239
Q043,P.S. 43 - QUEENS,SANDY,1862059
Q047,P.S. 47 - QUEENS,OTHER,218816
Q047,P.S. 47 - QUEENS,ROOF,3773462
Q098,P.S. 98 - QUEENS,OTHER,1885003
Q105,P.S. 105 - QUEENS,OTHER,328045
Q105,P.S. 105 - QUEENS,SANDY,5495074
Q106,P.S. 106 - QUEENS,OTHER,134692
Q111,P.S. 111 - QUEENS,OTHER,898140
Q114,P.S. 114 - QUEENS,OTHER,249865
Q114,P.S. 114 - QUEENS,SANDY,23359268
Q126,I.S. 126 - QUEENS,OTHER,1744199
Q126,THE 30TH AVENUE SCHOOL,OTHER,576647
Q146,P.S. 146 - QUEENS,OTHER,1654927
Q171,P.S. 171 - QUEENS,OTHER,2053516
Q180,THE SCHOLARS ACADEMY - QUEENS,OTHER,3715746
Q183,P.S. 183 - QUEENS,OTHER,1937213
Q195,P.S. 195 - QUEENS,OTHER,385890
Q195,P.S. 195 - QUEENS,SANDY,100000
Q197,P.S. 197 - QUEENS,OTHER,342820
Q197,P.S. 197 - QUEENS,ROOF,5882572
Q198,CHALLENGE PREP CHARTER SCHOOL,OTHER,49985
Q198,P.S. 333 - QUEENS,SANDY,5159468
Q207,P.S. 207 - QUEENS,OTHER,703743
Q225,I.S. 318 - QUEENS,OTHER,109175
Q225,P.S. 317 - QUEENS,OTHER,278835
Q225,P.S. 317 - QUEENS,SANDY,10262312
Q232,P.S. 232 - QUEENS,OTHER,17554660
Q242,P.S. 242 - QUEENS,OTHER,1461220
Q269,ELM TREE ELEMENTARY SCHOOL,OTHER,439727
Q269,P.S. 143 - QUEENS,OTHER,541593
Q404,ACAD FOR CAREERS IN TV AND FIL,OTHER,35000
Q404,HUNTERS POINT COMMUNITY MIDDLE,OTHER,35000
Q410,BEACH CHANNEL HS - QUEENS,OTHER,258118
Q410,CHANNEL VIEW SCL FOR RESEARCH,OTHER,1831077
Q410,ROCKAWAY COLLEGIATE HIGH SCHL,OTHER,775837
Q410,ROCKAWAY COLLEGIATE HIGH SCHOO,OTHER,1647035
Q410,ROCKAWAY PARK HS FOR ENVIRONME,OTHER,104211
Q452,LONG ISLAND CITY H.S.,OTHER,23065793
Q452,LONG ISLAND CITY HS - Q,FLOOD,17972542
Q452,LONG ISLAND CITY HS - Q,OTHER,3238432
Q452,Q993 SPED - QUEENS,OTHER,50000
Q465,ACAD. OF MEDICAL TECHNOLOGY -,OTHER,105000
Q465,FAR ROCKAWAY HS,OTHER,269964
Q465,FREDERICK DOUGLASS ACAD VI HS,ROOF,23977124
Q465,FREDERICK DOUGLASS ACADEMY VI,OTHER,727182
Q465,M.S. 282 - QUEENS,OTHER,3731377
R002,I.S. 2 - STATEN ISLAND,OTHER,1705685
R038,P.S. 38 - STATEN ISLAND,OTHER,762891
R050,P.S. 50 - STATEN ISLAND,OTHER,750628
R052,P.S. 52 - STATEN ISLAND,OTHER,873793
X037,P.S. 37 - BRONX,FLOOD,774883
X037,P.S. 37 - BRONX,OTHER,90000
X174,ARCHIMEDES ACADEMY FOR MATH  -,OTHER,100000
X174,BRONX MATH PREP - BRONX,FLOOD,8209584
